Time, Node, InOrOut, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
4.9,MidNode,1,3.31,0,0,0,0,0
5.02,BackNode,1,-1.66,0,0,0,0,0
5.04,MidNode,0,-2.76,0,0,0,0,0
5.36,BackNode,0,-2.61,0,0,0,0,0
5.36,MidNode,1,-2.61,0,0,0,0,0
5.4,MidNode,0,5.51,0,0,0,0,0
8.36,MidNode,1,2.9,0,0,0,0,0
10.04,BackNode,1,-2.01,0,0,0,0,0
11.08,BackNode,0,-2.02,0,0,0,0,0
11.24,MidNode,0,3.2,0,0,0,0,0
18.12,MidNode,1,2.44,0,0,0,0,0
18.24,BackNode,1,-1.97,0,0,0,0,0
18.28,MidNode,0,-2.98,0,0,0,0,0
26.48,TopNode,1,-3.16,2.96,1.55,27.60011,1.44511E-06,337.269
26.86,BackNode,0,-3.01,3.28,1.71,27.60011,1.44511E-06,337.269
27.14,TopNode,0,-1.6,6.26,3.28,27.60011,1.44511E-06,337.269
